scenario_name,band,scene,visibility_km,raw_row_count,evaluated_raw_count,envelope_point_count,r2,nrmse,highangle_nrmse,tail150_nrmse,raw_point_coverage,raw_ratio_p95,raw_ratio_p99
maritime_mwir_30km,mwir,maritime,30.0,17161,16253,33,0.9992242038696684,0.005706802117776219,0.007117955771851939,0.009982212355665473,0.9984618224327816,0.797470801099208,0.9930154357522759
rural_mwir_2km,mwir,rural,2.0,17161,16253,33,0.9452925058193556,0.04432903158786116,0.06050274157084076,0.05092263670629824,0.989109702824094,0.9073383371410335,1.0047421419059832
rural_mwir_4km,mwir,rural,4.0,17161,16253,33,0.9986686445998564,0.0070037751725050305,0.017819773166657726,0.015269951743536202,0.9966160093521196,0.8677447343150008,0.9633304168392762
rural_mwir_5km,mwir,rural,5.0,17161,16253,33,0.997864413006391,0.008829989542898065,0.007544839599709797,0.005967362440364743,0.9978465514058943,0.8502610177207919,0.9657154013578519
rural_mwir_7.5km,mwir,rural,7.5,17161,16253,33,0.9962448782140613,0.011911093323150278,0.005517141989562974,0.006444520461372335,0.9987079308435366,0.8178839221819246,0.9729414243151213
rural_mwir_10km,mwir,rural,10.0,17161,16253,33,0.9919430633385257,0.017210336814179796,0.009182226577560628,0.010201146519012234,0.9989540392542915,0.7960254740602902,0.9775914247168904
rural_mwir_12km,mwir,rural,12.0,17161,16253,33,0.9913102688268007,0.017679651119643033,0.010795043618763078,0.011910764631997696,0.9992001476650465,0.7786041775513216,0.9805409424477904
rural_mwir_15km,mwir,rural,15.0,17161,16253,33,0.9937946942649138,0.014706818297923694,0.010917148372820361,0.012279326173605169,0.9992616747677352,0.7594616751780002,0.9852121703158132
rural_mwir_18km,mwir,rural,18.0,17161,16253,33,0.9972051112697367,0.009718918803898262,0.009592947815317538,0.011232433987088918,0.9992616747677352,0.74578622166319,0.989913563506826
rural_mwir_20km,mwir,rural,20.0,17161,16253,33,0.9982078904378336,0.007702696837758061,0.008408463098485742,0.010193139082471176,0.9992616747677352,0.7384402903650737,0.992276683667248
rural_mwir_22km,mwir,rural,22.0,17161,16253,33,0.9968993773421521,0.010026796553547847,0.0074451603625567495,0.009311349444616573,0.9992001476650465,0.7324218559623683,0.9947359130268187
rural_mwir_25km,mwir,rural,25.0,17161,16253,33,0.9911776922600638,0.01668805950776768,0.006493157239648824,0.008367981769415507,0.9934781271149942,0.7259294514163932,0.9975028783078502
rural_mwir_28km,mwir,rural,28.0,17161,16253,33,0.9821074967166725,0.02348863329802078,0.005869531051480078,0.007651776447795198,0.9902171906724913,0.7213336701804047,0.9998561511044268
rural_mwir_30km,mwir,rural,30.0,17161,16253,33,0.9736182990409139,0.028305281386647837,0.005536415211320735,0.007195837225344174,0.9886174860025841,0.7189162247306636,1.0011244194840987
desert_nir_2km,nir,desert,2.0,17161,16253,33,0.9959728483151694,0.013566003328102651,0.052353473903216215,0.09935332505776022,0.9968621177628746,0.9363324368132622,0.9909224344836067
desert_nir_4km,nir,desert,4.0,17161,16253,33,0.9984171644843023,0.00893398140540047,0.012610707684682856,0.02125413819754599,1.0,0.8888761005339861,0.9801171894133005
desert_nir_5km,nir,desert,5.0,17161,16253,33,0.9975120020495862,0.011361823703081975,0.02561611018677944,0.04481342659300446,1.0,0.8616899326395615,0.9736991849374625
desert_nir_7.5km,nir,desert,7.5,17161,16253,33,0.99706840027618,0.012515401307401346,0.04851307375403122,0.09128408098732264,0.9994462560758014,0.7960564504322523,0.9659576912369485
desert_nir_10km,nir,desert,10.0,17161,16253,33,0.9978288323549873,0.010643170758819908,0.058972173132259234,0.11643813711560812,0.9992001476650465,0.7522680528263933,0.9653730018542183
desert_nir_12km,nir,desert,12.0,17161,16253,33,0.9965867802094353,0.013449649775027444,0.062148379029672775,0.12442074318716101,0.9992001476650465,0.7222128060022832,0.9650254138726986
desert_nir_15km,nir,desert,15.0,17161,16253,33,0.9962405394086686,0.014483804345313102,0.0626689887085349,0.1274752992759116,0.9991386205623577,0.6916883835059662,0.9672249887214218
desert_nir_18km,nir,desert,18.0,17161,16253,33,0.9978882887385903,0.010763000446276556,0.06044153111315536,0.12403447263651686,0.9993232018704239,0.6596613636603065,0.9691533427549159
desert_nir_20km,nir,desert,20.0,17161,16253,33,0.998338021236188,0.009505656361204812,0.058118478782243466,0.11932936360905229,0.9991386205623577,0.6420679878925155,0.9681850093085604
desert_nir_22km,nir,desert,22.0,17161,16253,33,0.9985835659046987,0.008743015434561421,0.055576838833068194,0.11326722147685488,0.9995077831784901,0.6237076101829218,0.9645395082873913
desert_nir_25km,nir,desert,25.0,17161,16253,33,0.9986822662048417,0.008396268577694169,0.05254206638806185,0.10472337684022794,0.9995693102811789,0.6015346482144317,0.9615121620839321
desert_nir_28km,nir,desert,28.0,17161,16253,33,0.9986248942409175,0.0085491652380028,0.05046412374398584,0.09695167158327715,0.9995693102811789,0.5827794712169894,0.9589957688451983
desert_nir_30km,nir,desert,30.0,17161,16253,33,0.9986001380667031,0.008608470887770503,0.04982829919975093,0.09202601950808689,0.9996308373838676,0.5707361083792593,0.9564717573144784
maritime_nir_2km,nir,maritime,2.0,17161,16253,33,0.9953057502555823,0.013637588628522471,0.060208080650065776,0.03266156420275675,0.9883713775918292,0.9580558440221103,1.0030921268280706
maritime_nir_4km,nir,maritime,4.0,17161,16253,33,0.9926970048125336,0.0162641311188699,0.04389691977932592,0.05805400556237985,0.9997538915892451,0.9016083116720303,0.949223607979362
maritime_nir_5km,nir,maritime,5.0,17161,16253,33,0.9923403783165848,0.016690115876352166,0.044550778668704716,0.057219600118345273,0.9993847289731127,0.8965813839736336,0.9584799051735166
maritime_nir_7.5km,nir,maritime,7.5,17161,16253,33,0.9977607523201905,0.00932959424926784,0.040273710095469976,0.055856812787542065,0.9944625607580139,0.8990033002906123,0.9798621978566673
maritime_nir_10km,nir,maritime,10.0,17161,16253,33,0.9975096327413169,0.010005278378692545,0.04468387312695449,0.05982536977230979,0.9911400972128223,0.8963426011652881,0.9958775316645795
maritime_nir_12km,nir,maritime,12.0,17161,16253,33,0.9974013860273181,0.010339521333246601,0.04589712132294608,0.05836461322625471,0.9919399495477758,0.8796863356350473,0.9885440793956758
maritime_nir_15km,nir,maritime,15.0,17161,16253,33,0.997929544795715,0.009364534487753717,0.04782959656996641,0.05975983401574888,0.9940318710391928,0.8503575596673002,0.9749145549883141
maritime_nir_18km,nir,maritime,18.0,17161,16253,33,0.9976952290785899,0.009953531870288674,0.03988036961499986,0.05231707220259126,0.996308373838676,0.811633828524983,0.9567441622894302
maritime_nir_20km,nir,maritime,20.0,17161,16253,33,0.9983923437349617,0.008433906270418736,0.03153223336056448,0.043566541125604055,0.9976004429951394,0.7844018469069602,0.9408760289903836
maritime_nir_22km,nir,maritime,22.0,17161,16253,33,0.99861231778373,0.007812768760508381,0.024207269217429633,0.03161755187501337,0.9980926598166492,0.763689207594652,0.9266880572736216
maritime_nir_25km,nir,maritime,25.0,17161,16253,33,0.9985065763971991,0.00807692056357405,0.025508064635649814,0.024803109030215764,0.9982772411247154,0.7346178551037327,0.9054449968018978
maritime_nir_28km,nir,maritime,28.0,17161,16253,33,0.9980558714394062,0.009210713190696303,0.032560085742492535,0.024727941180187365,0.9985233495354704,0.7095804291751947,0.8846135817165867
maritime_nir_30km,nir,maritime,30.0,17161,16253,33,0.9975682455740136,0.010315636199636284,0.03894763524415015,0.027440895613265116,0.9986464037408479,0.6930501141044952,0.871324473922853
rural_nir_2km,nir,rural,2.0,17161,16253,33,0.9883867456659888,0.022500797612514813,0.11076864303888286,0.17510761915814563,0.994216452347259,0.9692122717851742,0.9955676865873239
rural_nir_4km,nir,rural,4.0,17161,16253,33,0.9956407432480856,0.014372563983071938,0.03499569156114776,0.0225495329965043,1.0,0.9297312490484851,0.9761249049152465
rural_nir_5km,nir,rural,5.0,17161,16253,33,0.9966331341415797,0.0128228737282287,0.03779963278155475,0.038688060146143795,1.0,0.916438116545937,0.9726572860667423
rural_nir_7.5km,nir,rural,7.5,17161,16253,33,0.997289760686764,0.011647122014037739,0.04531865187551777,0.06697905531225291,0.9991386205623577,0.8755869012242943,0.9667738821007991
rural_nir_10km,nir,rural,10.0,17161,16253,33,0.9985411560030677,0.00867031700393179,0.04818192194856661,0.07315680718709934,0.9986464037408479,0.8488613126793964,0.9715918571623655
rural_nir_12km,nir,rural,12.0,17161,16253,33,0.9981667509339056,0.009611677845080237,0.04576901097982364,0.0686367139489964,0.9987079308435366,0.8256994414353889,0.9710418486294167
rural_nir_15km,nir,rural,15.0,17161,16253,33,0.9972959957919184,0.011635146377277446,0.03823801636780389,0.05645656578056714,0.9985233495354704,0.8023926653689266,0.9715211308756021
rural_nir_18km,nir,rural,18.0,17161,16253,33,0.9986958340709817,0.008270824437406515,0.028639320093679862,0.04254492956885324,0.9982772411247154,0.777801160302236,0.969170123619123
rural_nir_20km,nir,rural,20.0,17161,16253,33,0.9985992467706019,0.008566582098151827,0.023014619141172643,0.03518984242022058,0.9985848766381591,0.759313340255583,0.9667461773977658
rural_nir_22km,nir,rural,22.0,17161,16253,33,0.9979225620426753,0.010381936719807264,0.02141210449238299,0.03321046997266069,0.9996308373838676,0.7382388975325186,0.9623128524646118
rural_nir_25km,nir,rural,25.0,17161,16253,33,0.9965085472839953,0.013380818104398635,0.029444002720925216,0.043089002934802084,0.9999384728973113,0.7108390681802776,0.9564847210759951
rural_nir_28km,nir,rural,28.0,17161,16253,33,0.9951104412624969,0.015766511706332594,0.04291573571745294,0.06044052591323351,0.9999384728973113,0.6862595126724435,0.9516840220731522
rural_nir_30km,nir,rural,30.0,17161,16253,33,0.9943558019667756,0.01689966873299394,0.053207444698580436,0.07379006866700812,0.9999384728973113,0.6700303011472887,0.9452704978147753
desert_vis_2km,vis,desert,2.0,17161,16253,33,0.9952478219364842,0.015405975815055728,0.03525581067206061,0.04953526774474379,0.9638835907217129,0.9924438256116977,1.0165298580490685
desert_vis_4km,vis,desert,4.0,17161,16253,33,0.9884175153495756,0.02192457772402027,0.014876747244191817,0.027179596108547865,0.9864640374084784,0.9855680390097,1.0064022463953406
desert_vis_5km,vis,desert,5.0,17161,16253,33,0.9922335864896656,0.017705103239785126,0.017465268081079597,0.02907462482495165,0.9939703439365041,0.9782217646195914,0.9945264107210898
desert_vis_7.5km,vis,desert,7.5,17161,16253,33,0.9968231556548857,0.011394956427210112,0.020034292383309206,0.030944467059824832,0.9995077831784901,0.9646925061512326,0.9878557880443898
desert_vis_10km,vis,desert,10.0,17161,16253,33,0.9981100260966264,0.0088569515707072,0.01928139570474629,0.02919398631062582,0.9993847289731127,0.9582181381172484,0.9887058145625809
desert_vis_12km,vis,desert,12.0,17161,16253,33,0.9987883969536457,0.0071510043349825095,0.01693668632287363,0.026919149137953423,0.9996923644865563,0.9529834187657983,0.9858935257398322
desert_vis_15km,vis,desert,15.0,17161,16253,33,0.9992733615223413,0.005598626462371319,0.01431571624175996,0.0242735541209882,1.0,0.9420621976060284,0.9856050659880259
desert_vis_18km,vis,desert,18.0,17161,16253,33,0.9993244669266654,0.005450308904310536,0.013821897283919518,0.024121546237104576,1.0,0.9333374239827148,0.9858173712011554
desert_vis_20km,vis,desert,20.0,17161,16253,33,0.999354338280009,0.005360831251485764,0.014683925747704805,0.02554707790850827,1.0,0.9290434374354787,0.9859082457620528
desert_vis_22km,vis,desert,22.0,17161,16253,33,0.9991347347607092,0.006241547749721758,0.016158467719876664,0.027890165560532757,1.0,0.924020484648088,0.9859404411773376
desert_vis_25km,vis,desert,25.0,17161,16253,33,0.9988287437697896,0.007298135588541845,0.018722231072382897,0.03172336192090392,1.0,0.9171691108513614,0.9840655985933965
desert_vis_28km,vis,desert,28.0,17161,16253,33,0.9987119213414665,0.00769763981627076,0.02136731449841906,0.03559274383090126,1.0,0.9107820742997405,0.9820412292680907
desert_vis_30km,vis,desert,30.0,17161,16253,33,0.998437676580632,0.008511437130219762,0.023025832836500355,0.03821097115440063,1.0,0.9058772945809469,0.9809116277666966
maritime_vis_2km,vis,maritime,2.0,17161,16253,33,0.9966079196341603,0.01284312665614167,0.026514212714989577,0.05137685228254721,0.9973543345843844,0.9473256000715409,0.9859186587044774
maritime_vis_4km,vis,maritime,4.0,17161,16253,33,0.9797323953136265,0.028182503976167485,0.019186465416084052,0.035629749394142436,0.990524826185935,0.9782797238023818,0.9993216705574569
maritime_vis_5km,vis,maritime,5.0,17161,16253,33,0.9830201956034782,0.02517437592477609,0.017951599628611675,0.03205987375522607,0.9925552205746632,0.9614121736018018,0.992146891943397
maritime_vis_7.5km,vis,maritime,7.5,17161,16253,33,0.9911162850254991,0.017878161084912306,0.015879122421731406,0.025543266688080726,0.9991386205623577,0.9451906997324718,0.9807487504777475
maritime_vis_10km,vis,maritime,10.0,17161,16253,33,0.9934286338532077,0.015556879424589243,0.01593072630785137,0.023441262910852884,0.9978465514058943,0.9448656241778457,0.9856932796814897
